Code,Activity,Tasks,Deliverables,Dependencies,Start date,End date,Reviced date,Unnamed: 8,Progress,Priority,Unnamed: 11
2.1.6.6,Due diligence of the shortlisted ESOs,"Conduct due diligence of the selected ESOs to determine the legal, financial, programmatic capacity.","Approved Due diligence report, with a Go/ No-Go Decision",,2025-08-01 0:00:00,2025-08-30 0:00:00,2025-09-20 0:00:00,The regional ESOs did not apply in the first call for proposals which required a scoping visit to understand their uniqueness and refine the RFP. The due diligence is scheduled for 22nd to 26th Sept.,In Progress,High,
,,Work with the FMCS partner on the due diligence report. ,,,,,,,,,
,,Final selection of ESOs to be contracted based on the due diligence report. ,Selected ESOs to be contracted,,,,,,,,
,,Confirmation with the ESOs on the Go/No- Go decision and the next steps. ,ESOs informed about the Go/No- Go decision and the next steps. ,,,,,,,,
2.1.6.7,"Conduct negotiations with selected ESOs, develop work plans.",Discuss draft budgets submitted by ESOs in line with program standards.,6 Spend plans and work plans ,,2025-08-18 0:00:00,2025-09-17 0:00:00,2025-09-30 0:00:00,,In Progress,High,
,,Finalize and validate ESO budgets for approval.,,,,,,,,,
2.1.6.8,Work Plan Development,Jointly develop ESO-specific work plans with clear timelines and milestones.,Approved workplans,,,,,,,,
,,Validation & Approval  of the final work plans and budgets,,,,,,,,,
2.1.6.8,Formalize partnerships through signing contracts with 6 additional ESOs onto the 10X Program focused on supporting women entrepreneurs ,Prepare partnership frameworks for each of the 6 ESOs,6 Signed Contracts with the ESOs.,,2025-09-01 0:00:00,2025-09-30 0:00:00,2025-10-10 0:00:00,,In Progress,High,
,,Share frameworks for review with ESOs and Legal team ,,,,,,,,,
,,Signing of the frameworks with the ESOs. ,,,,,,,,,
2.1.6.9,"ESO Onboarding and Introduction to incubation and acceleration frameworks (curriculum, due diligence, digital economy integration).","Design orientation package (process framework, digital tools, curriculum guides, reporting templates, Memo).",A master onboarding deck and memo approved by the Program Lead.  ,,,,,,,,
,,Review Onboarding Decks from OUL Work streams.,Workstream presentations approved,,,,,,,,
,,"Conduct ESO induction workshop on program objectives, delivery model, and performance expectations. Initial on boarding trainings on Safe guarding, Gender, Results Measurement, Communications, Learning Design, Incubation and Acceleration with the contracted ESOs. ",Onboarding workshop done,,,,,,,,
,,"Share standardized tools (reporting templates, MSME selection criteria, MEL framework).",Standardized tools shared,,,,,,,,
2.1.6.10,Inception report and Co-design of interventions with outbox,Co-create detailed incubation/acceleration implementation plans with each ESO,,,,,,,,,
,,Review of the shared Inception reports ensuring that there is alignment with Program goals. ,,,,,,,,,
,,,,,,,,,,,
,,Launch incubation and acceleration cohorts through partner ESOs.,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,In Progress,High,
2.1.8,"2.1.8  Deliver the approved digital economy incubator/accelerator initiatives to MSMEs with linkages to digital platform providers, finance and bundled with access to devices. Run women only focused cohorts with a select group of ESOs. Each ESO will deliver at least two incubator/accelerator initiatives per year targeting its community of entrepreneurs.",,,,,,,,,,
2.1.8.2,Roll out of the first and second cohorts by the ESOs to identify the MSMEs to be on boarded for the Acceleration Program.,The calls will launched on the Outbox & partner websites with clear activity timelines.,"21,040 young women in outreach",,2025-05-19 0:00:00,2026-07-23 0:00:00,,,In Progress,High,"This activity was dependent on ESOs being contracted which was delayed and only took place in May, this meant that the activity needed to rolled over "
,,"Outbox will support the ESOs to establish a system to track application submissions, engagement metrics, and a report summarizing the outreach efforts, including the number of applications received and initial analysis of applicant quality and diversity. Plan, execute and monitor MSME digitization campaign, including awareness, onboarding, education, and ongoing usage support.",,,,,,,,,
,,Provide oversight to the ESOs on the identify & selection of suitable businesses as per the agreed criteria to join the first and second cohorts of the accelerator.,,,,,,,,,
,,Outbox will provide the tools for assessment & evaluation and the independent team for selection of the final businesses.                                                                                                  Outbox will also carry out overall QA of the recommended pipeline by the ESOs. Reviewing the course content and  updating the learning Management System  based on learnings from previous cohorts.,,,,,,,,,
2.1.8.4,Offer tailored support to the MSMEs based on their Growth plans,ESOs build MSMEs capacity to complete the foundation course.,"14,500 MSMEs have been supported through the Acceleration Program",,2025-07-01 0:00:00,2026-06-30 0:00:00,,,In Progress,High,
,,Due diligence & needs assessment by ESOs for the MSMEs while maintaining safeguarding guidelines.,"14,728  Youth in Work",,,,,,,,
,,"ESOs offer tailored support and technical assistance that enables the MSMEs to access digital platforms, credit, market and improved business management practices.",,,,,,,,,
2.1.8.7,Identify and partner with TVETs with computers that can be used by entrepreneurs for learning,"In partnership with Refactory and Outbox, identify TVET institutions with computer labs that can host entrepreneurs for practical DE training.",Serviced IT infrastructure of  6 selected TVETs equipped for MSME digital training,,2026-01-01 0:00:00,2026-02-27 0:00:00,,,Not Started,Medium,This activity is rolled over to Year 2 was dependent on Refactory identifying TVETS to develop programs after it completed the TVET capacity assessment
,,Map and assess TVETs with existing IT infrastructure,,,,,,,,,
,,Engage selected institutions,,,,,,,,,
,,Confirm availability and readiness for MSME use,,,,,,,,,
,,Facilitate basic upgrades or support where necessary,,,,,,,,,
2.1.8.8,Conduct on site progress visits to observe and gather insights on the implemented activities ,"Throughout the accelerator initiatives, Outbox will carry out quarterly visits to the ESOs and MSMEs to document key insights to inform future accelerators, in collaboration with the accelerators team, RM and communications team at Outbox",4 Quarterly visits conducted,,2025-09-17 0:00:00,2026-05-29 0:00:00,,,Not Started,High,"This activity was dependent on ESOs being contracted which was delayed and only took place in May, this mean that this activity needed to rolled over after ESOs had completed the first cohort"
,,"Best practices, successes and learning in safeguarding, inclusion and disability mainstreaming will captured and documented as learning briefs.",2 learning briefs that position Outbox as thought leaders ,,,,,,,,
2.1.8.9,"Document success stories, and design and implement MSME digitization campaign (awareness, onboarding, education, usage support)","Plan, execute and monitor MSME digitization campaign, including awareness, onboarding, education, and ongoing usage support.",Success stories,,2025-08-13 0:00:00,2026-05-29 0:00:00,,,Not Started,High,
2.1.8.10,Conduct Due Diligence & Eligibility Checks for MSMEs,"The Outbox team will sample MSMEs from the ESO pipeline for field visits to assess the operational status, validate information provided, and determine their readiness for technical assistance, digital adoption support, market linkage opportunities, or investment readiness interventions.",Actionable insights to support ESO program alignment and MSME support planning,,2025-07-07 0:00:00,2025-08-30 0:00:00,2025-11-14 0:00:00,The delay in the MSME study procurement affected foundation course development and launch. ESO launched the accelerators in August and the first cohort is expected to end in Oct/Nov.,Not Started,High,
2.1.8.11,ESO Specialized (Advanced level) Curriculum Dissemination. The Outbox team will attend some of the onboarding workshops for ESOs-MSMEs for the Advanced courses,The Outbox team will participate in selected onboarding workshops between ESOs and MSMEs for the Advanced-level courses. This engagement will support the effective dissemination of the specialized curriculum and enable the Outbox team to assist ESOs in tailoring and refining their content based on real-time feedback and context-specific needs.,Tailored advanced curricullum,,2025-08-03 0:00:00,2025-10-03 0:00:00,,,Not Started,High,
2.2.3.3,Delivery of capacity building sessions to ESOs,"Based on the gaps identified by the FMCS during the Due diligence/OCA process, Outbox will undertake to extend support to ESOs on their Service delivery/Capacity improvement plans implemented with initial supervision from the consultant through group trainings and tailored coaching sessions.",Initial report on progress made by each partner vs the planned activities ,,2025-11-03 0:00:00,2026-05-30 0:00:00,,,Not Started,Medium,
,,"Outbox will conduct bi-monthly trainings for the ESOs on program delivery components that include Finance, Digital adoption, Learning Design and Results Measurement to ensure alignment with program approach and expectations",,,,,,,,,
2.2.4,Conduct bi-annual organizational capacity assessment to determine progress made in addressing the weaknesses identified,,,,,,,,,,
2.2.4.1,Conduct validation and follow-ups on consortium partners and ESOs Capacity improvement plans ,FMCS Partner carry out validation and follow-ups on consortium partners and ESOs Capacity improvement plans ,A capacity improvement report.,,2025-12-01 0:00:00,2026-06-30 0:00:00,,,Not Started,Medium,
2.1.7,"Co-create digital economy incubator/accelerator initiatives with selected ESOs to support participating MSMEs to adopt/integrate the appropriate digital solutions coupled with business support services. Setup structures for bundling of digital devices with business support services, repayment structures for devices. Receive support from Light for the World on disability inclusion aspects.","UNCDF and Outbox will host co-creations workshops with the first cohort of ESOs to develop a go to market strategy for the device financing, digital credit and digital platform providers.",,,,,,,,,
,,"Outbox and UNCDF will facilitate workshops with the selected ESOs to define incubation bundles, including devices and tools; integrate the program device distribution and financing go to market strategy.

ESOs will revise their technical models in the incubators/ accelerators that they will implement in the program year in the advanced phase of accelerator. ",,,,,,,,,
2.2,"Capacities of 15 ESOs are strengthened and built to deliver appropriate digital skilling and technical assistance to MSMEs, strengthen internal processes that establish additional revenue streams rooted in DE  ",,,,,,,,,,
2.2.2,"Together with participating ESOs, cocreate digital services business models to roll-out or scale to test revenue streams","Outbox will host co-creation workshops in partnership with  UNCDF and platform providers with selected ESOs in the program to embed DE business models (device distribution strategy and financing) and support services into their service offering.

ESOs test and refine the developed DE business models and support services that enable them create sustainability and revenue streams.",,,,,,,,,
2.2.3.1,Deliver training and professional development to ESO staff based on the common gaps identified,"Outbox will develop and disseminate Terms of Reference to recruit consultants, who will be selected jointly with the Foundation to support ESOs in addressing capacity gaps identified through FMCS due diligence.  

Outbox will provide ongoing support through tailored coaching, group trainings, and quarterly sessions on program delivery, inclusion, and results measurement.
",,,,,,,,,
2.2.4,The FMCS will conduct bi-annual validation  of  the capacity improvement plans  to determine progress made in addressing the weaknesses identified from the OCA.,FMCS partner will carry out validation and follow-ups on consortium partners and ESOs capacity improvement plans ,,,,,,,,,
,,,,,,,,,,,
6.1,"Conduct Monitoring and Evaluation Activities to Support Results Measurement, Tracking, Reporting  of the programme. ",,,,,,,,,,
6.1.2,Conduct project monitoring visits (quarterly/ bi annually,"UNCDF will conduct monitoring visits for its downstream partners -  Project Officers

Consortium partners will conduct monitoring visits for their individual down stream partners.- Project officers",,,,,,,,,
6.1.2.1,UNCDF provides input to the design process and content of the impact dashboard as developed by Outbox,"Outbox drafts the Impact Dashboard Mockup and shares with UNCDF for review and feedback
",,,,,,,,,
,,UNCDF will provides input to the design process and content of the impact dashboard as developed by Outbox,,,,,,,,,
,,Outbox will develop the live Impact dashboard with support from UNCDF,,,,,,,,,
,,,,,,,,,,,
6.1.2.4,Develop a portfolio management system for ESOs,"Developing a TOR
Shortlisting and selection of consultants 
Development of user requirements
Design of the intended tools
Development of the tools
",,,,,,,,,
,,,,,,,,,,,
4.2," Support the design, pilot and rollout of financing and distribution models for access to affordable devices",,,,,,,,,,
4.2.3,"Identify promising device lending solutions on the market, provide them with T.A to rethink their models / solutions to better serve the target youth businesses /MSMEs.",Conclude Due diligence on first set of selected grant applicants ,,,,,,,,,
,,,,,,,,,,,
,,Undertake selection process on second set of grant applicants ,,,,,,,,,
,,Undertake due diligence on second set of applicants grant applicants ,,,,,,,,,
,,,,,,,,,,,
3.2              6 local digital transformation solutions created for MSMEs,06 local digital transformation solutions created for MSMEs,,,,,,,,,,
3.2.1,Managing the repayable grant fund for the six startups and Outbox will support with the implementation of the open innovation challenge,"Through a call of application, recruit a grant manager to manage the innovation challenge grants",,,,,,,,,
3.2.3,Select solutions to be supported in the incubation program,"With support from UNCDF, the  selection committee selects startups to participate in the accelerator programme run by Outbox",,,,,,,,,
,,Outbox runs the accelerator programme,,,,,,,,,
,,UNCDF launches grant call - for participants in the accelerator programme to apply ,,,,,,,,,
,,UNCDF in collaboration with Oubox select six emerging startups to receive innovation grants,,,,,,,,,
,,Outbox and UNCDF provide post accelerator programme technical assistance to the 6 startups,,,,,,,,,
,,UNCDF disburses performance based grants to the 6 startups,,,,,,,,,
,,,,,,,,,,,
3.1,Establish partnerships with 3 existing private sector digital platform providers to address the needs of youth led MSMEs ,,,,,,,,,,
3.1.1,"Through a call for applications, identify platforms on the market that are relevant and appropriate for the MSMEs to access to markets, finance, optimized operations, upskilling, improved customer engagement",Project approval for 3 implementing partners(UNCDF investment committee),,,,,,,,,
3.1.2,Engage and sign partnerships with select platforms that exhibit the most value for MSMEs. ,Sign performance based agreement with 3 platform providers,,,,,,,,,
,,"Project inception: Work with selected partners to conclude project implementation plans, budgets",,,,,,,,,
,,"Partner induction on program approach to gender, disability  and safeguarding and quarterly review assessments on progress on gender, disability and safeguarding.
Undertake gender, safeguarding, disability audit",,,,,,,,,
,,Communication around new platforms onboarded and the value they bring to MSMEs,,,,,,,,,
3.1.3,Provide technical assistance and innovation grants to selected digital platform providers to improve their platforms / business models and roll them out to the target MSMEs.,"Identify capacity needs to deliver on project  to inform scope of technical assistance and platform enhancements


",,,,,,,,,
,,Work with Outbox to build awareness around the innovation challenge,,,,,,,,,
3.1.4,"Working with platform providers and ESOs, support MSMEs to adopt the appropriate digital solutions into
their operations."," Implement MSME inclusive digitization campaign (awareness, onboarding, education, usage support)",,,,,,,,,
